time_sec,pred_label,Amusement,Anger,Disgust,Fear,Inspiration,Joy,Sadness,Tenderness,prob_Amusement,prob_Anger,prob_Disgust,prob_Fear,prob_Inspiration,prob_Joy,prob_Sadness,prob_Tenderness
0.0390625,Disgust,False,False,True,False,False,False,False,False,0.2399474894898289,0.0003053671257161227,0.652245532027797,0.0008300722111938358,0.006133503921766585,0.08827099767120902,0.006133569097991934,0.0061334684544965675
0.078125,Disgust,False,False,True,False,False,False,False,False,0.0773285031142442,0.014605705511241395,0.5713854010510305,0.001976644076177044,0.001976648092906258,0.10792264025038997,0.21019875532341142,0.014605702580599228
0.1171875,Disgust,False,False,True,False,False,False,False,False,0.038419522268029395,0.00036129579305205965,0.7717027450956476,0.0009821017429126112,0.03842059607168605,0.1044375016754355,0.007257024102586821,0.038419213250649904
0.15625,Amusement,True,False,False,False,False,False,False,False,0.4909895245764728,0.0006248652403037317,0.1806246534268617,0.0016985502349411913,0.06643845370465232,0.012550703844958115,0.06644750448572383,0.18062574448608631
0.1953125,Tenderness,False,False,False,False,False,False,False,True,0.008391406588514061,0.02281005674928335,0.04442245571974267,0.003086963225646391,0.0030869005290987102,0.02280960182702411,0.0030868744979008354,0.8923057408627899
0.234375,Tenderness,False,False,False,False,False,False,False,True,0.002412531925111453,0.002412539252643399,0.017826944267839297,0.0178326525634001,0.0008875231556963361,0.25654992781825026,0.00469863278557479,0.6973792482314843
0.2734375,Sadness,False,False,False,False,False,False,True,False,0.0005546801127612433,0.004098567895119797,0.030284630816341813,0.05898240813302961,0.0040987463930116635,0.0302874193620968,0.4358464895633604,0.4358470577242787
0.3125,Tenderness,False,False,False,False,False,False,False,True,0.0006461654040223041,0.004774596573339648,0.18678033551138998,0.18677855249733563,0.06871325847698047,0.009298779370382334,0.03528047820449558,0.5077278339620542
0.3515625,Inspiration,False,False,False,False,True,False,False,False,0.1437550288799805,0.009988780223051403,0.009988965255365788,0.0004973093988930049,0.39076790752128543,0.0013518358071295223,0.39076555095940996,0.052884621954884414
0.390625,Amusement,True,False,False,False,False,False,False,False,0.31597490492673763,0.002971329719611576,0.04276195585463811,0.00040212290409122434,0.3159744643370437,0.002971313757028042,0.3159725881732361,0.002971320327613639
0.4296875,Amusement,True,False,False,False,False,False,False,False,0.41219198428615883,0.0038761666475424384,0.05578120471287329,0.0005245767002840424,0.05578289551699923,0.0038761473675458075,0.4121866473971687,0.05578037737142772
0.46875,Amusement,True,False,False,False,False,False,False,False,0.3886402387196923,0.0036546712295711975,0.14297288441008082,0.003654709455784652,0.3886380663518466,0.05259619297255757,0.019348632389428588,0.0004946044710383813
0.5078125,Amusement,True,False,False,False,False,False,False,False,0.6400153523849247,0.0022140941558977736,0.03186434893968386,0.0008145171078676833,0.23544900151375275,0.0022140993454513734,0.08661407316971756,0.0008145133827043731
0.546875,Inspiration,False,False,False,False,True,False,False,False,0.09551825824078032,0.002441616742139695,0.09551779308435807,0.00033043630955787015,0.7057910054980434,0.0024416249399460696,0.09551765114152864,0.0024416140436461136
0.5859375,Sadness,False,False,False,False,False,False,True,False,0.10015796043486871,0.01891893303225852,0.10015774555672616,0.0009418504477650821,0.03684500335710957,0.0025602260579787373,0.7400717945155745,0.0003464865977187373
0.625,Amusement,True,False,False,False,False,False,False,False,0.4236857835641074,0.0005392000789327633,0.4236857393501926,0.003984185200275199,0.02944243749725174,0.057339143091978004,0.057339331866934476,0.003984179350327717
0.6640625,Amusement,True,False,False,False,False,False,False,False,0.644209029145009,0.00030160450983006816,0.2369908170904448,0.0022285770392892063,0.08718393640287428,0.016467190913178085,0.011798999570512565,0.0008198453288621015
0.703125,Amusement,True,False,False,False,False,False,False,False,0.6479285314402606,0.000303345857171696,0.23835942679805555,0.0022414450318488702,0.08768745693225331,0.016562283914931,0.006092931597576899,0.0008245784279020289
