time_sec,pred_label,Amusement,Anger,Disgust,Fear,Inspiration,Joy,Sadness,Tenderness,prob_Amusement,prob_Anger,prob_Disgust,prob_Fear,prob_Inspiration,prob_Joy,prob_Sadness,prob_Tenderness
0.0390625,Disgust,False,False,True,False,False,False,False,False,0.00787703275037399,0.002902329624506644,0.8372422633363873,0.0010658605066160391,0.007877785160423374,0.11325711792657249,0.007878920364874498,0.021898690330245663
0.078125,Fear,False,False,False,True,False,False,False,False,0.03331096895942956,0.24634678691991682,0.002318205943870219,0.6698096377078532,0.033341282109492734,0.012240770439568064,0.00031371503631609727,0.00231863288355336
0.1171875,Tenderness,False,False,False,False,False,False,False,True,0.08276471262498442,0.005816049102588527,0.11707346995928877,0.08280036573787881,0.08280397274930373,0.015677832082478797,0.000780420169749427,0.6122831775737276
0.15625,Disgust,False,False,True,False,False,False,False,False,0.03389699898331345,0.012359380884323307,0.6814092589588899,0.0008682821416050163,0.25076993574821566,0.0008683627771069687,0.017466795578101713,0.002360984928444013
0.1953125,Amusement,True,False,False,False,False,False,False,False,0.5239019317904599,0.07081261094167729,0.19274934743969038,0.004932298244734486,0.1927994618475832,0.0049326368956023915,0.0049323297649843025,0.004939383075268042
0.234375,Disgust,False,False,True,False,False,False,False,False,0.24062241309907206,0.0008344846205085603,0.6545777109418934,0.0008336087386438051,0.08853629474310397,0.006162154530495752,0.0022699035270182357,0.006163429799264164
0.2734375,Inspiration,False,False,False,False,True,False,False,False,0.18839498207272862,0.013148598015870781,0.18838542639441516,0.001773603894166252,0.5121792466523838,0.02530932359483547,0.06903537712085649,0.0017734422547434207
0.3125,Amusement,True,False,False,False,False,False,False,False,0.6380128229898081,0.0008132632172882952,0.23465770394777913,0.0022091743684006446,0.08633464740345095,0.031653531718351426,0.006019947600900351,0.0002989087540209521
0.3515625,Disgust,False,False,True,False,False,False,False,False,0.23338287043788078,0.03146724148615191,0.6344435619128813,0.000297289134378497,0.08581492691449873,0.011581857402109439,0.00220414868249392,0.000808104029605375
0.390625,Anger,False,True,False,False,False,False,False,False,0.1345656516124039,0.35425188079363457,0.0035067545531622273,0.0004660980976543253,0.36568392844147424,0.1346034109994664,0.0034779471413587605,0.003444328360845532
0.4296875,Joy,False,False,False,False,False,True,False,False,0.002218125657035893,0.08642851979369805,0.0008155400908493834,0.0008154429765308414,0.2354342197919533,0.6402257071705284,0.031845060562852995,0.0022173839565511255
0.46875,Sadness,False,False,False,False,False,False,True,False,0.00029898915190047,0.03166463792305713,0.006007290262165578,0.0008127053615397172,0.08630663021216776,0.23472231210909905,0.6379778020882237,0.002209632891846427
0.5078125,Joy,False,False,False,False,False,True,False,False,0.0008731349380810325,0.017581956955374886,0.0023735557124725036,0.0008733199514332429,0.2521456242269114,0.6855806542299866,0.034115644659373515,0.006456109326366855
0.546875,Inspiration,False,False,False,False,True,False,False,False,0.0004998919378146049,0.05292893477133004,0.010046636722401936,0.0036959074750469306,0.3924244761698482,0.39244479343379185,0.14426324648876626,0.00369611300100021
0.5859375,Amusement,True,False,False,False,False,False,False,False,0.6401655905491322,0.002219681225597487,0.08647193670431393,0.0008154488411043008,0.0022178002323858083,0.03173605841695034,0.2355576030285196,0.0008158810019963576
0.625,Amusement,True,False,False,False,False,False,False,False,0.6479717399490013,0.0003036171843132336,0.08765960409580564,0.0008251006241747747,0.0061009467006559554,0.016591820227795148,0.23830386486611463,0.0022433063521392254
0.6640625,Amusement,True,False,False,False,False,False,False,False,0.678399073195731,0.0008643271346927054,0.03371546091256107,0.0003178938799316623,0.017370663559921687,0.017398601428153204,0.24958284765046582,0.0023511322385427803
0.703125,Amusement,True,False,False,False,False,False,False,False,0.6623862319978929,0.0003105111058964739,0.046148607732179756,0.0008439319842934379,0.0022933257596439286,0.012121190981555998,0.24363027341263988,0.032265927025897485
