time_sec,pred_label,Amusement,Anger,Disgust,Fear,Inspiration,Joy,Sadness,Tenderness,prob_Amusement,prob_Anger,prob_Disgust,prob_Fear,prob_Inspiration,prob_Joy,prob_Sadness,prob_Tenderness
0.0390625,Joy,False,False,False,False,False,True,False,False,0.04225375827545776,0.22347645193728433,0.015541898658770065,0.01109449855884804,0.0021029989841408326,0.6077458299542301,0.015541428705574926,0.08224313492569382
0.078125,Inspiration,False,False,False,False,True,False,False,False,0.006443927203453722,0.0339148743450027,0.01752361565743365,0.0023709852970359635,0.6850531083846888,0.25200133194189916,0.00032081455351949,0.0023713426169665315
0.1171875,Amusement,True,False,False,False,False,False,False,False,0.7616067872178962,0.002637467958719707,0.10306595258236961,0.007168236751698799,0.01947902900310492,0.10304839498631437,0.0026374458808469886,0.00035668561904935787
0.15625,Joy,False,False,False,False,False,True,False,False,0.1451378925123476,0.0013709815995601093,0.0037210501311667967,0.0037264683228320442,0.0037201315556671787,0.3953072010766421,0.3952021801103744,0.05181409469140981
0.1953125,Joy,False,False,False,False,False,True,False,False,0.002274801262590818,0.0003065638892264113,0.24024513966332778,0.0022651605286496674,0.08847951284797305,0.6541031641407129,0.006167492642174965,0.006158165025344349
0.234375,Amusement,True,False,False,False,False,False,False,False,0.4099682570691138,0.010610450131078891,0.0075029123922626334,0.0038689292546390764,0.0038621256254929405,0.1505347693854759,0.4097913663683076,0.003861189773629099
0.2734375,Amusement,True,False,False,False,False,False,False,False,0.6651546277088333,0.006286073378951898,0.006284071890638291,0.08981857571650545,0.0062670312419290065,0.09002109668836382,0.08964931641076437,0.04651920696401384
0.3125,Fear,False,False,False,True,False,False,False,False,0.16975218887820873,0.0016192198489517018,0.012056282815950295,0.46714612364985575,0.17154430268947893,0.1718618857760629,0.0016189822209104281,0.004401014120581197
0.3515625,Fear,False,False,False,True,False,False,False,False,0.00234957992116497,0.0008639278606702959,0.24908583420939742,0.6776710166066622,0.004540439910978526,0.017368233381107236,0.0008636509267917281,0.04725731718322748
0.390625,Fear,False,False,False,True,False,False,False,False,0.04199384833132916,0.041858992850284764,0.040089114263584226,0.8440560515277804,0.001075263100091899,0.0010756198225875234,0.008178351665945292,0.021672758438396795
0.4296875,Fear,False,False,False,True,False,False,False,False,0.1041237420397423,0.000983989359812526,0.1042306939645889,0.7707582439984006,0.0026736290402229646,0.007293624201013692,0.002674994221251586,0.007261083174967474
0.46875,Fear,False,False,False,True,False,False,False,False,0.18789785906048306,0.004812002354679195,0.09706692911237304,0.5109741097993562,0.18785700329814506,0.004811328271071587,0.0017704602039630023,0.004810307899929042
0.5078125,Fear,False,False,False,True,False,False,False,False,0.031761516815555405,0.00030000532816917803,0.23539505118766538,0.639623473283284,0.002215872600234406,0.0022193336223088915,0.08626839009831982,0.0022163570644629024
0.546875,Disgust,False,False,True,False,False,False,False,False,0.0009725904741498965,0.007214146986110977,0.7623774100370047,0.10314577221289926,0.0009715715342522187,0.10309172658604979,0.0026434261306050063,0.01958335603892827
0.5859375,Disgust,False,False,True,False,False,False,False,False,0.002269311724431675,0.0008349641329471641,0.6544880721799716,0.24071032017120056,0.0885284767515305,0.006165527928931099,0.0008345019449635552,0.006168825166023858
0.625,Fear,False,False,False,True,False,False,False,False,0.0008260486408732337,0.0003038328616931592,0.23836157705139202,0.6478635043754,0.016599472489259033,0.0022458536603197775,0.08766859527785839,0.00613111564320437
0.6640625,Joy,False,False,False,False,False,True,False,False,0.00036632782432104985,0.02002981600277967,0.10561187949429934,0.014171634701613983,0.0009959087555412845,0.7811902914601685,0.03881923642398642,0.038814905337289714
0.703125,Fear,False,False,False,True,False,False,False,False,0.004663352034669341,0.0017172336088451144,0.06678348039530203,0.49495719007289896,0.1820166006351556,0.06689290658188879,0.001717828506111139,0.18125140816512914
0.7421875,Inspiration,False,False,False,False,True,False,False,False,0.001713607266984314,0.0017156570649434525,0.06670854200395115,0.0667086352653563,0.4947744664274725,0.18183248888305964,0.004661173138551503,0.18188542994968107
0.78125,Inspiration,False,False,False,False,True,False,False,False,0.006164335657597441,0.0003068572375349825,0.0877748476251954,0.0022681537111377183,0.6543457976633467,0.24058883370906586,0.006166635748644511,0.0023845386474775623
0.8203125,Inspiration,False,False,False,False,True,False,False,False,0.016603764468142487,0.002246640693187439,0.006131963726887136,0.0003037668824640053,0.6479692202089357,0.23830505645904065,0.0008258804236993692,0.08761370713764344
0.859375,Inspiration,False,False,False,False,True,False,False,False,0.0008661677846265858,0.0008671325739726572,0.0064129078661760265,0.002355576221325868,0.6797509704753828,0.2499124151290039,0.047455991214806974,0.012378838734705206
0.8984375,Inspiration,False,False,False,False,True,False,False,False,0.0027899374084800507,0.00102686918981143,0.02063925828816454,0.05607074691621445,0.8052041201887677,0.10867801651787705,0.0027891158402520116,0.0028019356504326936
0.9375,Inspiration,False,False,False,False,True,False,False,False,0.23832936306725958,0.006113011630267506,0.002244170353268326,0.00030363767519154714,0.6480690808187358,0.0874945326483697,0.0008253240179254448,0.01662087978898201
0.9765625,Inspiration,False,False,False,False,True,False,False,False,0.03357581434491531,0.03293915210734695,0.0008599064621916632,0.00233778507432356,0.6749301532970102,0.24814202929917747,0.006355281219717719,0.0008598781953170984
1.015625,Amusement,True,False,False,False,False,False,False,False,0.5355409105723199,0.005044947360837364,0.013723072948105815,0.013703818442500505,0.19704503031727785,0.19695567578973802,0.037304373657098266,0.0006821709121222713
1.0546875,Inspiration,False,False,False,False,True,False,False,False,0.1474601846885306,0.010293362639219535,0.027920968632212606,0.0013886832178636379,0.4011052915632669,0.40105798344612914,0.010262490324461275,0.0005110354883162856
1.09375,Inspiration,False,False,False,False,True,False,False,False,0.10207607598403597,0.10223370455009989,0.00035474721357003637,0.0026223493311746185,0.7567181785748783,0.013850030239932587,0.019522173413113714,0.0026227406931948354
1.1328125,Joy,False,False,False,False,False,True,False,False,0.040293982879574364,0.007642975454603523,0.007632546752150786,0.0028078363712407996,0.10966530829095938,0.8107859101671461,0.02079154142648062,0.00037989865784445403
1.171875,Joy,False,False,False,False,False,True,False,False,0.1019847904412275,0.013788125513520473,0.00713967055951553,0.0009610400556515409,0.10197950303600599,0.754460186258603,0.019333072716704078,0.0003536114187718849
1.2109375,Sadness,False,False,False,False,False,False,True,False,0.08648441459387259,0.2354738546176267,0.002217556846845662,0.0008157843755638721,0.03182924220031309,0.0022315060909316215,0.6401317049220172,0.0008159363528292495
1.25,Anger,False,True,False,False,False,False,False,False,0.0017716856275450427,0.5112729399961601,0.0017720032910898023,0.18811146017488103,0.18746145569262848,0.06905905254009735,0.0357314174282498,0.004819985249348333
1.2890625,Fear,False,False,False,True,False,False,False,False,0.035908294271038366,0.09835880930124487,0.002520855874639213,0.7278111407693248,0.03569453721800766,0.09843651012924001,0.0009285774865612465,0.0003412749499438043
1.328125,Anger,False,True,False,False,False,False,False,False,0.002216503129881138,0.6378732207357429,0.0008133637884274483,0.08629129173389685,0.0060218478238866485,0.03174885769805584,0.23473568795187794,0.0002992271382312275
1.3671875,Sadness,False,False,False,False,False,False,True,False,0.013918392549410581,0.10309960714563998,0.00035727109107085213,0.007196360798460517,0.002640891044226884,0.10318065100808603,0.7624234686514492,0.00718335771165608
1.40625,Fear,False,False,False,True,False,False,False,False,0.05339982082886665,0.0037264569121176036,0.0013684926714045865,0.3939650841488097,0.0037207027349686274,0.3951211686163262,0.14497650711252835,0.003721766974978252
1.4453125,Joy,False,False,False,False,False,True,False,False,0.08643602995452403,0.0008146411690840302,0.031755458186991166,0.0008139816199841578,0.0008139024046387259,0.6390545538553486,0.23426293526652578,0.006048497542903477
1.484375,Amusement,True,False,False,False,False,False,False,False,0.44947735358225877,0.0042307261553700725,0.4493954895821772,0.0015557759962357128,0.01149744243083753,0.06082888520049596,0.011518810487346027,0.011495516565278734
1.5234375,Amusement,True,False,False,False,False,False,False,False,0.4418366560219691,0.0015296014308662162,0.0597907980818996,0.030735675143718093,0.011303059857912672,0.4419379831548771,0.011336859503784538,0.0015293668049726056
1.5625,Disgust,False,False,True,False,False,False,False,False,0.03441417551289138,0.0008814649828469504,0.6922134519132933,0.006515417676861661,0.00239571741192829,0.2546665246222818,0.006517446847575849,0.002395801032320825
