time_sec,pred_label,Amusement,Anger,Disgust,Fear,Inspiration,Joy,Sadness,Tenderness,prob_Amusement,prob_Anger,prob_Disgust,prob_Fear,prob_Inspiration,prob_Joy,prob_Sadness,prob_Tenderness
0.0390625,Inspiration,False,False,False,False,True,False,False,False,0.014473874052798912,0.0010095985618867554,0.039456193162535944,0.0027442385534529137,0.7928925789917168,0.039429456416023995,0.10724841375821878,0.0027456465033658555
0.078125,Anger,False,True,False,False,False,False,False,False,0.03971189088296917,0.7985077367110223,0.03964933589389161,0.0027645929430977147,0.10807061168655693,0.007514909701827764,0.0010168912457344274,0.002764030934900084
0.1171875,Amusement,True,False,False,False,False,False,False,False,0.5231236450602758,0.004931526748706238,0.07071979644038488,0.0018129186352571405,0.19245057628258624,0.1884359941299392,0.013598878013559376,0.004926664689291181
0.15625,Disgust,False,False,True,False,False,False,False,False,0.1713727099897237,0.004395080586983507,0.4643936461059566,0.004392191654894573,0.17144158964840203,0.17137254998379706,0.012038110813878468,0.0005941212163639908
0.1953125,Amusement,True,False,False,False,False,False,False,False,0.6792250191809153,0.24959820518791342,0.01242011442525794,0.006400957727968056,0.0008653194639869876,0.01739496591627336,0.03377719660216678,0.00031822149551826936
0.234375,Amusement,True,False,False,False,False,False,False,False,0.6507580364866166,0.002253576958916368,0.011909575427508033,0.0008286873178404426,0.23932983831310137,0.08795101750039186,0.006140626813629424,0.0008286411819957998
0.2734375,Amusement,True,False,False,False,False,False,False,False,0.650701661061848,0.0022523732274487298,0.08800579310746767,0.0008285780606397542,0.23937634715472764,0.011881260105623391,0.006125510958990658,0.0008284763232542007
0.3125,Amusement,True,False,False,False,False,False,False,False,0.686195016108536,0.006460924577634452,0.01254225849091646,0.0008739256516298025,0.2524337999014177,0.03414921285448453,0.006471083017686115,0.0008737793976950112
0.3515625,Fear,False,False,False,True,False,False,False,False,0.14219442127634027,0.02796130667826188,0.0013418214982972001,0.3863799565152296,0.052003458295088435,0.3859758325726556,0.0036501126270808595,0.0004930905370462177
0.390625,Amusement,True,False,False,False,False,False,False,False,0.2743151336399166,0.0025884473777363216,0.10094988693144537,0.2737913605560661,0.2743982457363142,0.0521368584300899,0.01923535391116991,0.0025847134172614443
0.4296875,Sadness,False,False,False,False,False,False,True,False,0.16356992623395997,0.0015414658717100341,0.16311502188640656,0.004187506040196028,0.05887675480186639,0.16349741097723103,0.44464546840576974,0.0005664457828600931
0.46875,Amusement,True,False,False,False,False,False,False,False,0.3216171826347203,0.00040979469607178517,0.3215606164537562,0.0011143269550265616,0.0030279938856698943,0.3216427048605591,0.022394951228238178,0.00823242928595793
0.5078125,Amusement,True,False,False,False,False,False,False,False,0.6478573715061182,0.00030365109142166966,0.23832074457050859,0.0008252331082071345,0.006100707813167908,0.08767132415930505,0.01667786534481407,0.002243102406457268
0.546875,Amusement,True,False,False,False,False,False,False,False,0.7402619433057149,0.0003468943816753144,0.10014257911845359,0.002563061634404138,0.019002518490125693,0.10015572257744483,0.036584511370732424,0.0009427691214491979
0.5859375,Amusement,True,False,False,False,False,False,False,False,0.7038954066801477,0.000897263465687815,0.01806488907516161,0.006633248125051097,0.0024381063544025874,0.006692672524638737,0.25893717768365326,0.002441236091257143
0.625,Amusement,True,False,False,False,False,False,False,False,0.32138571190758103,0.00041007773835442015,0.32155820553932724,0.0011169222118689428,0.008284463855051556,0.32168303844851215,0.022524942268559056,0.0030366380307456364
